Sample	mappedNetworkCwR.count_Hong_Kong_to_New_York	mappedNetworkCwR.count_Hong_Kong_to_New_Zealand	mappedNetworkCwR.count_New_York_to_Hong_Kong	mappedNetworkCwR.count_New_York_to_New_Zealand	mappedNetworkCwR.count_New_Zealand_to_Hong_Kong	mappedNetworkCwR.count_New_Zealand_to_New_York
479000	3	0	2	5	2	6
480000	2	0	4	4	0	3
481000	0	0	2	3	0	4
482000	2	1	3	1	0	0
483000	1	2	2	1	1	3
484000	1	0	2	0	1	4
485000	0	0	2	2	0	6
486000	0	0	2	0	0	6
487000	1	0	3	2	0	0
488000	1	1	4	2	0	3
489000	1	2	0	0	1	1
490000	0	0	1	2	1	1
491000	3	3	1	0	2	1
492000	1	0	2	2	1	0
493000	1	2	1	0	2	2
494000	1	0	5	2	0	0
495000	3	1	3	1	2	1
496000	0	2	4	1	0	1
497000	2	1	2	3	2	1
498000	2	0	3	2	1	2
499000	3	2	2	1	1	0
500000	0	0	2	3	0	0
501000	0	1	3	1	0	0
502000	6	0	1	2	0	0
503000	2	1	3	1	0	1
504000	0	1	3	1	0	0
505000	2	0	2	2	0	0
506000	2	1	3	3	2	0
507000	2	1	4	2	1	0
508000	2	0	1	5	3	0
509000	1	0	1	4	2	0
510000	1	1	1	4	3	1
511000	0	0	2	5	1	1
512000	1	0	2	7	2	3
513000	2	3	0	2	8	2
514000	0	1	0	0	3	2
515000	0	0	0	1	2	3
516000	0	0	0	2	2	1
517000	1	0	0	0	3	1
518000	0	2	0	0	2	3
519000	0	0	2	3	0	2
520000	0	0	2	2	0	0
521000	0	0	0	4	2	7
522000	2	3	3	4	2	8
523000	0	0	0	3	2	6
524000	0	2	0	2	3	4
525000	0	0	0	3	2	5
526000	0	0	1	0	1	3
527000	1	1	4	1	1	6
528000	0	0	2	2	0	0
529000	1	2	3	2	0	2
530000	1	2	7	3	0	3
531000	2	3	0	2	2	4
532000	0	0	3	2	0	4
533000	3	0	5	3	0	1
534000	0	0	2	3	0	5
535000	2	0	4	0	1	4
536000	1	0	2	0	1	5
537000	2	0	3	2	0	0
538000	0	0	2	0	0	5
539000	0	2	1	0	1	3
540000	1	3	1	3	0	4
541000	1	0	4	0	0	4
542000	0	2	4	2	0	4
543000	1	4	2	0	0	3
544000	1	1	5	2	0	8
545000	0	1	4	0	0	6
546000	1	0	3	0	0	5
547000	0	0	2	2	0	5
548000	0	0	0	0	2	3
549000	0	0	1	2	1	2
550000	4	0	0	2	0	0
551000	0	0	1	4	1	4
552000	2	2	0	0	0	0
553000	0	0	2	0	0	4
554000	0	0	2	2	0	6
555000	0	0	2	3	0	3
556000	1	1	4	1	0	1
557000	0	0	2	2	0	3
558000	0	0	2	0	0	4
559000	0	0	2	2	0	1
560000	0	0	2	1	0	3
561000	1	1	4	1	0	0
562000	0	0	2	4	0	2
563000	2	1	3	2	0	1
564000	3	1	2	3	0	3
565000	0	0	2	4	0	6
566000	0	0	2	1	0	5
567000	2	0	2	2	0	0
568000	1	0	3	2	0	2
569000	0	0	2	2	0	5
570000	0	0	2	1	0	5
571000	0	0	1	1	1	3
572000	1	0	2	2	0	0
573000	2	0	2	2	0	0
574000	0	0	2	2	0	1
575000	0	1	3	2	0	1
576000	0	0	1	1	1	5
577000	0	0	0	1	2	3
578000	0	3	0	1	3	4
579000	3	1	1	1	3	2
580000	1	0	3	0	0	4
581000	1	0	0	0	3	2
